year,pollutant,industry,emission_value
1996,Benzene,"Water supply; sewerage, waste management and remediation activities",1.279
1996,Benzene,Wholesale and retail trade; repair of motor vehicles and motorcycles,2.159
1997,Benzene,"Agriculture, forestry and fishing",0.402
1997,Benzene,"Arts, entertainment and recreation",0.103
1997,Benzene,Construction,1.103
1997,Benzene,Education,5.90E-02
1997,Benzene,"Electricity, gas, steam and air conditioning supply",0.696
1997,Benzene,Financial and insurance activities,3.20E-02
1997,Benzene,Human health and social work activities,0.104
1997,Benzene,Information and communication,0.205
1997,Benzene,Manufacturing,6.043
1997,Benzene,Mining and quarrying,1.005
1997,Benzene,Other service activities,0.1
1997,Benzene,"Professional, scientific and technical activities",0.367
1997,Benzene,Public administration and defence; compulsory social security,0.477
1997,Benzene,Real estate activities,8.10E-02
1997,Benzene,Transport and storage,5.307
1997,Benzene,"Water supply; sewerage, waste management and remediation activities",1.247
1997,Benzene,Wholesale and retail trade; repair of motor vehicles and motorcycles,1.932
1998,Benzene,"Agriculture, forestry and fishing",0.39
1998,Benzene,"Arts, entertainment and recreation",9.70E-02
1998,Benzene,Construction,1.015
1998,Benzene,Education,5.40E-02
1998,Benzene,"Electricity, gas, steam and air conditioning supply",0.742
1998,Benzene,Financial and insurance activities,2.90E-02
1998,Benzene,Human health and social work activities,9.60E-02
1998,Benzene,Information and communication,0.187
1998,Benzene,Manufacturing,4.81
1998,Benzene,Mining and quarrying,0.901
1998,Benzene,Other service activities,9.10E-02
1998,Benzene,"Professional, scientific and technical activities",0.333
1998,Benzene,Public administration and defence; compulsory social security,0.416
1998,Benzene,Real estate activities,7.40E-02
1998,Benzene,Transport and storage,5.474
1998,Benzene,"Water supply; sewerage, waste management and remediation activities",1.274
1998,Benzene,Wholesale and retail trade; repair of motor vehicles and motorcycles,1.754
1999,Benzene,"Agriculture, forestry and fishing",0.371
1999,Benzene,"Arts, entertainment and recreation",8.80E-02
1999,Benzene,Construction,0.901
1999,Benzene,Education,4.90E-02
1999,Benzene,"Electricity, gas, steam and air conditioning supply",0.771
1999,Benzene,Financial and insurance activities,2.60E-02
1999,Benzene,Human health and social work activities,8.70E-02
1999,Benzene,Information and communication,0.166
1999,Benzene,Manufacturing,4.218
1999,Benzene,Mining and quarrying,0.863
1999,Benzene,Other service activities,0.08
1999,Benzene,"Professional, scientific and technical activities",0.294
1999,Benzene,Public administration and defence; compulsory social security,0.388
1999,Benzene,Real estate activities,6.50E-02
1999,Benzene,Transport and storage,4.815
1999,Benzene,"Water supply; sewerage, waste management and remediation activities",1.247
1999,Benzene,Wholesale and retail trade; repair of motor vehicles and motorcycles,1.478
2000,Benzene,"Agriculture, forestry and fishing",0.308
2000,Benzene,"Arts, entertainment and recreation",5.60E-02
2000,Benzene,Construction,0.421
2000,Benzene,Education,0.03
2000,Benzene,"Electricity, gas, steam and air conditioning supply",0.733
2000,Benzene,Financial and insurance activities,1.20E-02
2000,Benzene,Human health and social work activities,4.50E-02
2000,Benzene,Information and communication,7.30E-02
2000,Benzene,Manufacturing,3.443
2000,Benzene,Mining and quarrying,0.89
2000,Benzene,Other service activities,3.50E-02
2000,Benzene,"Professional, scientific and technical activities",0.133
2000,Benzene,Public administration and defence; compulsory social security,0.252
2000,Benzene,Real estate activities,2.90E-02
2000,Benzene,Transport and storage,4.196
2000,Benzene,"Water supply; sewerage, waste management and remediation activities",1.177
2000,Benzene,Wholesale and retail trade; repair of motor vehicles and motorcycles,0.563
2001,Benzene,"Agriculture, forestry and fishing",0.291
2001,Benzene,"Arts, entertainment and recreation",5.40E-02
2001,Benzene,Construction,0.401
2001,Benzene,Education,2.70E-02
2001,Benzene,"Electricity, gas, steam and air conditioning supply",0.592
2001,Benzene,Financial and insurance activities,1.10E-02
2001,Benzene,Human health and social work activities,4.30E-02
2001,Benzene,Information and communication,6.50E-02
2001,Benzene,Manufacturing,3.055
2001,Benzene,Mining and quarrying,0.868
2001,Benzene,Other service activities,3.10E-02
2001,Benzene,"Professional, scientific and technical activities",0.118
2001,Benzene,Public administration and defence; compulsory social security,0.235
2001,Benzene,Real estate activities,2.60E-02
2001,Benzene,Transport and storage,4.789
2001,Benzene,"Water supply; sewerage, waste management and remediation activities",1.161
2001,Benzene,Wholesale and retail trade; repair of motor vehicles and motorcycles,0.532
2002,Benzene,"Agriculture, forestry and fishing",0.284
2002,Benzene,"Arts, entertainment and recreation",4.90E-02
2002,Benzene,Construction,0.354
2002,Benzene,Education,2.30E-02
2002,Benzene,"Electricity, gas, steam and air conditioning supply",0.548
2002,Benzene,Financial and insurance activities,8.00E-03
2002,Benzene,Human health and social work activities,3.50E-02
2002,Benzene,Information and communication,5.20E-02
2002,Benzene,Manufacturing,2.64
2002,Benzene,Mining and quarrying,0.816
2002,Benzene,Other service activities,2.50E-02
2002,Benzene,"Professional, scientific and technical activities",9.50E-02
2002,Benzene,Public administration and defence; compulsory social security,0.212
2002,Benzene,Real estate activities,2.10E-02
2002,Benzene,Transport and storage,4.383
2002,Benzene,"Water supply; sewerage, waste management and remediation activities",1.148
2002,Benzene,Wholesale and retail trade; repair of motor vehicles and motorcycles,0.451
2003,Benzene,"Agriculture, forestry and fishing",0.267
2003,Benzene,"Arts, entertainment and recreation",4.60E-02
2003,Benzene,Construction,0.317
2003,Benzene,Education,2.20E-02
2003,Benzene,"Electricity, gas, steam and air conditioning supply",0.734
2003,Benzene,Financial and insurance activities,7.00E-03
2003,Benzene,Human health and social work activities,0.03
