year,pollutant,industry,emission_value
NA,Benzene,Manufacturing,NA
NA,Benzene,Mining and quarrying,NA
NA,Benzene,Other service activities,NA
NA,Benzene,"Professional, scientific and technical activities",NA
NA,Benzene,Public administration and defence; compulsory social security,NA
NA,Benzene,Real estate activities,NA
NA,Benzene,Transport and storage,NA
NA,Benzene,"Water supply; sewerage, waste management and remediation activities",NA
NA,Benzene,Wholesale and retail trade; repair of motor vehicles and motorcycles,NA
1990,CO,"Agriculture, forestry and fishing",254.081
1990,CO,"Arts, entertainment and recreation",17.955
1990,CO,Construction,258.035
1990,CO,Education,18.813
1990,CO,"Electricity, gas, steam and air conditioning supply",125.846
1990,CO,Financial and insurance activities,5.562
1990,CO,Human health and social work activities,24.079
1990,CO,Information and communication,35.001
1990,CO,Manufacturing,984.8
1990,CO,Mining and quarrying,51.727
1990,CO,Other service activities,19.499
1990,CO,"Professional, scientific and technical activities",60.666
1990,CO,Public administration and defence; compulsory social security,125.064
1990,CO,Real estate activities,15.068
1990,CO,Transport and storage,302.217
1990,CO,"Water supply; sewerage, waste management and remediation activities",26.388
1990,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,283.281
1991,CO,"Agriculture, forestry and fishing",232.058
1991,CO,"Arts, entertainment and recreation",18.016
1991,CO,Construction,254.872
1991,CO,Education,18.39
1991,CO,"Electricity, gas, steam and air conditioning supply",124.12
1991,CO,Financial and insurance activities,5.633
1991,CO,Human health and social work activities,24.082
1991,CO,Information and communication,35.633
1991,CO,Manufacturing,956.544
1991,CO,Mining and quarrying,50.842
1991,CO,Other service activities,19.664
1991,CO,"Professional, scientific and technical activities",61.744
1991,CO,Public administration and defence; compulsory social security,124.755
1991,CO,Real estate activities,15.198
1991,CO,Transport and storage,311.528
1991,CO,"Water supply; sewerage, waste management and remediation activities",26.882
1991,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,286.097
1992,CO,"Agriculture, forestry and fishing",188.646
1992,CO,"Arts, entertainment and recreation",16.736
1992,CO,Construction,240.241
1992,CO,Education,17.373
1992,CO,"Electricity, gas, steam and air conditioning supply",120.725
1992,CO,Financial and insurance activities,5.391
1992,CO,Human health and social work activities,23.527
1992,CO,Information and communication,34.252
1992,CO,Manufacturing,948.786
1992,CO,Mining and quarrying,51.093
1992,CO,Other service activities,18.598
1992,CO,"Professional, scientific and technical activities",59.556
1992,CO,Public administration and defence; compulsory social security,125.354
1992,CO,Real estate activities,14.432
1992,CO,Transport and storage,306.087
1992,CO,"Water supply; sewerage, waste management and remediation activities",25.976
1992,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,271.077
1993,CO,"Agriculture, forestry and fishing",64.177
1993,CO,"Arts, entertainment and recreation",16.323
1993,CO,Construction,229.08
1993,CO,Education,15.75
1993,CO,"Electricity, gas, steam and air conditioning supply",110.724
1993,CO,Financial and insurance activities,5.178
1993,CO,Human health and social work activities,22.146
1993,CO,Information and communication,32.838
1993,CO,Manufacturing,934.19
1993,CO,Mining and quarrying,52.436
1993,CO,Other service activities,17.805
1993,CO,"Professional, scientific and technical activities",57.095
1993,CO,Public administration and defence; compulsory social security,125.354
1993,CO,Real estate activities,13.676
1993,CO,Transport and storage,297.336
1993,CO,"Water supply; sewerage, waste management and remediation activities",25.061
1993,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,257.052
1994,CO,"Agriculture, forestry and fishing",60.769
1994,CO,"Arts, entertainment and recreation",15.922
1994,CO,Construction,221.744
1994,CO,Education,13.079
1994,CO,"Electricity, gas, steam and air conditioning supply",118.255
1994,CO,Financial and insurance activities,5.101
1994,CO,Human health and social work activities,21.4
1994,CO,Information and communication,32.353
1994,CO,Manufacturing,951.091
1994,CO,Mining and quarrying,56.335
1994,CO,Other service activities,17.332
1994,CO,"Professional, scientific and technical activities",56.387
1994,CO,Public administration and defence; compulsory social security,88.644
1994,CO,Real estate activities,13.294
1994,CO,Transport and storage,292.375
1994,CO,"Water supply; sewerage, waste management and remediation activities",23.933
1994,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,248.839
1995,CO,"Agriculture, forestry and fishing",59.029
1995,CO,"Arts, entertainment and recreation",15.253
1995,CO,Construction,209.14
1995,CO,Education,11.864
1995,CO,"Electricity, gas, steam and air conditioning supply",117.353
1995,CO,Financial and insurance activities,4.926
1995,CO,Human health and social work activities,20.543
1995,CO,Information and communication,31.215
1995,CO,Manufacturing,950.764
1995,CO,Mining and quarrying,55.848
1995,CO,Other service activities,16.568
1995,CO,"Professional, scientific and technical activities",54.579
1995,CO,Public administration and defence; compulsory social security,70.388
1995,CO,Real estate activities,12.655
1995,CO,Transport and storage,285.139
1995,CO,"Water supply; sewerage, waste management and remediation activities",23.053
1995,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,236.096
1996,CO,"Agriculture, forestry and fishing",59.51
1996,CO,"Arts, entertainment and recreation",14.012
1996,CO,Construction,198.889
1996,CO,Education,12.2
1996,CO,"Electricity, gas, steam and air conditioning supply",114.51
1996,CO,Financial and insurance activities,4.406
1996,CO,Human health and social work activities,20.037
1996,CO,Information and communication,28.278
1996,CO,Manufacturing,944.038
1996,CO,Mining and quarrying,56.365
1996,CO,Other service activities,15.064
1996,CO,"Professional, scientific and technical activities",48.965
1996,CO,Public administration and defence; compulsory social security,68.05
1996,CO,Real estate activities,11.377
1996,CO,Transport and storage,281.197
1996,CO,"Water supply; sewerage, waste management and remediation activities",22.54
1996,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,216.25
1997,CO,"Agriculture, forestry and fishing",57.703
1997,CO,"Arts, entertainment and recreation",12.217
1997,CO,Construction,181.586
1997,CO,Education,11.71
1997,CO,"Electricity, gas, steam and air conditioning supply",54.381
1997,CO,Financial and insurance activities,3.695
1997,CO,Human health and social work activities,18.349
1997,CO,Information and communication,24.066
1997,CO,Manufacturing,907.047
1997,CO,Mining and quarrying,55.742
1997,CO,Other service activities,12.837
1997,CO,"Professional, scientific and technical activities",41.34
1997,CO,Public administration and defence; compulsory social security,54.129
1997,CO,Real estate activities,9.597
1997,CO,Transport and storage,270.633
1997,CO,"Water supply; sewerage, waste management and remediation activities",20.145
1997,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,186.816
1998,CO,"Agriculture, forestry and fishing",55.074
1998,CO,"Arts, entertainment and recreation",11.68
1998,CO,Construction,169.255
1998,CO,Education,9.653
1998,CO,"Electricity, gas, steam and air conditioning supply",71.882
1998,CO,Financial and insurance activities,3.447
1998,CO,Human health and social work activities,17.884
1998,CO,Information and communication,22.402
1998,CO,Manufacturing,853.15
1998,CO,Mining and quarrying,53.544
1998,CO,Other service activities,11.98
1998,CO,"Professional, scientific and technical activities",38.45
1998,CO,Public administration and defence; compulsory social security,51.574
1998,CO,Real estate activities,8.834
1998,CO,Transport and storage,261.004
1998,CO,"Water supply; sewerage, waste management and remediation activities",22.565
1998,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,172.163
1999,CO,"Agriculture, forestry and fishing",56.604
1999,CO,"Arts, entertainment and recreation",10.494
1999,CO,Construction,152.371
1999,CO,Education,9.076
1999,CO,"Electricity, gas, steam and air conditioning supply",64.152
1999,CO,Financial and insurance activities,3.111
1999,CO,Human health and social work activities,17.995
1999,CO,Information and communication,20.223
1999,CO,Manufacturing,845.711
1999,CO,Mining and quarrying,46.813
1999,CO,Other service activities,10.727
1999,CO,"Professional, scientific and technical activities",34.696
1999,CO,Public administration and defence; compulsory social security,48.664
1999,CO,Real estate activities,7.898
1999,CO,Transport and storage,248.122
1999,CO,"Water supply; sewerage, waste management and remediation activities",20.044
1999,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,154.299
2000,CO,"Agriculture, forestry and fishing",65.418
2000,CO,"Arts, entertainment and recreation",9.356
2000,CO,Construction,132.381
2000,CO,Education,7.626
2000,CO,"Electricity, gas, steam and air conditioning supply",75.382
2000,CO,Financial and insurance activities,2.712
2000,CO,Human health and social work activities,16.909
2000,CO,Information and communication,17.542
2000,CO,Manufacturing,752.311
2000,CO,Mining and quarrying,45.6
2000,CO,Other service activities,9.26
2000,CO,"Professional, scientific and technical activities",30.193
2000,CO,Public administration and defence; compulsory social security,44.739
2000,CO,Real estate activities,6.775
2000,CO,Transport and storage,232.92
2000,CO,"Water supply; sewerage, waste management and remediation activities",18.832
2000,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,132.289
2001,CO,"Agriculture, forestry and fishing",64.645
2001,CO,"Arts, entertainment and recreation",8.544
2001,CO,Construction,115.338
2001,CO,Education,6.927
2001,CO,"Electricity, gas, steam and air conditioning supply",77.105
2001,CO,Financial and insurance activities,2.207
2001,CO,Human health and social work activities,15.991
2001,CO,Information and communication,14.174
2001,CO,Manufacturing,734.181
2001,CO,Mining and quarrying,45.7
2001,CO,Other service activities,7.667
2001,CO,"Professional, scientific and technical activities",24.207
2001,CO,Public administration and defence; compulsory social security,40.884
2001,CO,Real estate activities,5.454
2001,CO,Transport and storage,221.894
2001,CO,"Water supply; sewerage, waste management and remediation activities",38.798
2001,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,108.717
2002,CO,"Agriculture, forestry and fishing",63.911
2002,CO,"Arts, entertainment and recreation",7.252
2002,CO,Construction,99.669
2002,CO,Education,5.492
2002,CO,"Electricity, gas, steam and air conditioning supply",73.583
2002,CO,Financial and insurance activities,1.682
2002,CO,Human health and social work activities,12.843
2002,CO,Information and communication,10.963
2002,CO,Manufacturing,601.837
2002,CO,Mining and quarrying,41.47
2002,CO,Other service activities,6.086
2002,CO,"Professional, scientific and technical activities",18.541
2002,CO,Public administration and defence; compulsory social security,35.2
2002,CO,Real estate activities,4.21
2002,CO,Transport and storage,198.909
2002,CO,"Water supply; sewerage, waste management and remediation activities",16.242
2002,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,87.362
2003,CO,"Agriculture, forestry and fishing",68.387
2003,CO,"Arts, entertainment and recreation",6.553
2003,CO,Construction,88.344
2003,CO,Education,4.525
2003,CO,"Electricity, gas, steam and air conditioning supply",77.922
2003,CO,Financial and insurance activities,1.334
2003,CO,Human health and social work activities,11.292
2003,CO,Information and communication,8.7
2003,CO,Manufacturing,528.255
2003,CO,Mining and quarrying,38.973
2003,CO,Other service activities,5.037
2003,CO,"Professional, scientific and technical activities",14.614
2003,CO,Public administration and defence; compulsory social security,32.158
2003,CO,Real estate activities,3.39
2003,CO,Transport and storage,185.273
2003,CO,"Water supply; sewerage, waste management and remediation activities",15.183
2003,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,72.769
2004,CO,"Agriculture, forestry and fishing",62.942
2004,CO,"Arts, entertainment and recreation",6.235
2004,CO,Construction,83.511
2004,CO,Education,4.313
2004,CO,"Electricity, gas, steam and air conditioning supply",78.57
2004,CO,Financial and insurance activities,1.191
2004,CO,Human health and social work activities,11.265
2004,CO,Information and communication,7.675
2004,CO,Manufacturing,511.292
2004,CO,Mining and quarrying,37.809
2004,CO,Other service activities,4.467
2004,CO,"Professional, scientific and technical activities",12.937
2004,CO,Public administration and defence; compulsory social security,30.841
2004,CO,Real estate activities,3.013
2004,CO,Transport and storage,180.837
2004,CO,"Water supply; sewerage, waste management and remediation activities",14.888
2004,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,65.041
2005,CO,"Agriculture, forestry and fishing",64.198
2005,CO,"Arts, entertainment and recreation",5.841
2005,CO,Construction,74.655
2005,CO,Education,4.33
2005,CO,"Electricity, gas, steam and air conditioning supply",80.4
2005,CO,Financial and insurance activities,1.012
2005,CO,Human health and social work activities,11.752
2005,CO,Information and communication,6.522
2005,CO,Manufacturing,508.469
2005,CO,Mining and quarrying,38.342
2005,CO,Other service activities,3.92
2005,CO,"Professional, scientific and technical activities",10.944
2005,CO,Public administration and defence; compulsory social security,27.615
2005,CO,Real estate activities,2.609
2005,CO,Transport and storage,173.552
2005,CO,"Water supply; sewerage, waste management and remediation activities",14.508
2005,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,56.845
2006,CO,"Agriculture, forestry and fishing",55.632
2006,CO,"Arts, entertainment and recreation",4.752
2006,CO,Construction,69.684
2006,CO,Education,4.072
2006,CO,"Electricity, gas, steam and air conditioning supply",85.548
2006,CO,Financial and insurance activities,0.843
2006,CO,Human health and social work activities,9.971
2006,CO,Information and communication,5.328
2006,CO,Manufacturing,537.385
2006,CO,Mining and quarrying,34.554
2006,CO,Other service activities,3.258
2006,CO,"Professional, scientific and technical activities",8.853
2006,CO,Public administration and defence; compulsory social security,26.279
2006,CO,Real estate activities,2.204
2006,CO,Transport and storage,156.656
2006,CO,"Water supply; sewerage, waste management and remediation activities",14.268
2006,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,49.132
2007,CO,"Agriculture, forestry and fishing",58.658
2007,CO,"Arts, entertainment and recreation",4.395
2007,CO,Construction,68.125
2007,CO,Education,3.697
2007,CO,"Electricity, gas, steam and air conditioning supply",85.573
2007,CO,Financial and insurance activities,0.739
2007,CO,Human health and social work activities,8.286
2007,CO,Information and communication,4.586
2007,CO,Manufacturing,511.749
2007,CO,Mining and quarrying,35.072
2007,CO,Other service activities,2.737
2007,CO,"Professional, scientific and technical activities",7.566
2007,CO,Public administration and defence; compulsory social security,23.277
2007,CO,Real estate activities,1.954
2007,CO,Transport and storage,146.139
2007,CO,"Water supply; sewerage, waste management and remediation activities",13.39
2007,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,44.628
2008,CO,"Agriculture, forestry and fishing",60.842
2008,CO,"Arts, entertainment and recreation",4.053
2008,CO,Construction,60.027
2008,CO,Education,3.024
2008,CO,"Electricity, gas, steam and air conditioning supply",83.96
2008,CO,Financial and insurance activities,0.618
2008,CO,Human health and social work activities,7.663
2008,CO,Information and communication,3.739
2008,CO,Manufacturing,465.78
2008,CO,Mining and quarrying,33.288
2008,CO,Other service activities,2.384
2008,CO,"Professional, scientific and technical activities",6.135
2008,CO,Public administration and defence; compulsory social security,19.993
2008,CO,Real estate activities,1.713
2008,CO,Transport and storage,133.029
2008,CO,"Water supply; sewerage, waste management and remediation activities",12.169
2008,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,38.049
2009,CO,"Agriculture, forestry and fishing",57.737
2009,CO,"Arts, entertainment and recreation",3.835
2009,CO,Construction,48.893
2009,CO,Education,2.732
2009,CO,"Electricity, gas, steam and air conditioning supply",73.573
2009,CO,Financial and insurance activities,0.509
2009,CO,Human health and social work activities,6.558
2009,CO,Information and communication,3.014
2009,CO,Manufacturing,373.98
2009,CO,Mining and quarrying,33.524
2009,CO,Other service activities,1.992
2009,CO,"Professional, scientific and technical activities",4.853
2009,CO,Public administration and defence; compulsory social security,17.622
2009,CO,Real estate activities,1.42
2009,CO,Transport and storage,114.769
2009,CO,"Water supply; sewerage, waste management and remediation activities",11.742
2009,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,33.94
2010,CO,"Agriculture, forestry and fishing",59.418
2010,CO,"Arts, entertainment and recreation",3.483
2010,CO,Construction,52.482
2010,CO,Education,2.806
2010,CO,"Electricity, gas, steam and air conditioning supply",77.073
2010,CO,Financial and insurance activities,0.471
2010,CO,Human health and social work activities,6.661
2010,CO,Information and communication,2.766
2010,CO,Manufacturing,329.22
2010,CO,Mining and quarrying,33.105
2010,CO,Other service activities,1.772
2010,CO,"Professional, scientific and technical activities",4.468
2010,CO,Public administration and defence; compulsory social security,16.959
2010,CO,Real estate activities,1.358
2010,CO,Transport and storage,114.29
2010,CO,"Water supply; sewerage, waste management and remediation activities",12.442
2010,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,32.324
2011,CO,"Agriculture, forestry and fishing",49.717
2011,CO,"Arts, entertainment and recreation",3.257
2011,CO,Construction,47.314
2011,CO,Education,2.363
2011,CO,"Electricity, gas, steam and air conditioning supply",77.876
2011,CO,Financial and insurance activities,0.392
2011,CO,Human health and social work activities,6.174
2011,CO,Information and communication,2.26
2011,CO,Manufacturing,328.849
2011,CO,Mining and quarrying,31.17
2011,CO,Other service activities,1.509
2011,CO,"Professional, scientific and technical activities",3.655
2011,CO,Public administration and defence; compulsory social security,15.289
2011,CO,Real estate activities,1.144
2011,CO,Transport and storage,109.47
2011,CO,"Water supply; sewerage, waste management and remediation activities",12.121
2011,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,28.092
2012,CO,"Agriculture, forestry and fishing",51.628
2012,CO,"Arts, entertainment and recreation",3.187
2012,CO,Construction,43.681
2012,CO,Education,2.423
2012,CO,"Electricity, gas, steam and air conditioning supply",88.932
2012,CO,Financial and insurance activities,0.341
2012,CO,Human health and social work activities,5.87
2012,CO,Information and communication,1.919
2012,CO,Manufacturing,344.537
2012,CO,Mining and quarrying,27.933
2012,CO,Other service activities,1.348
2012,CO,"Professional, scientific and technical activities",3.151
2012,CO,Public administration and defence; compulsory social security,13.794
2012,CO,Real estate activities,1.051
2012,CO,Transport and storage,102.801
2012,CO,"Water supply; sewerage, waste management and remediation activities",11.851
2012,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,25.278
2013,CO,"Agriculture, forestry and fishing",44.652
2013,CO,"Arts, entertainment and recreation",3.068
2013,CO,Construction,39.715
2013,CO,Education,2.471
2013,CO,"Electricity, gas, steam and air conditioning supply",84.706
2013,CO,Financial and insurance activities,0.281
2013,CO,Human health and social work activities,5.708
2013,CO,Information and communication,1.516
2013,CO,Manufacturing,394.689
2013,CO,Mining and quarrying,28.006
2013,CO,Other service activities,1.158
2013,CO,"Professional, scientific and technical activities",2.479
2013,CO,Public administration and defence; compulsory social security,12.081
2013,CO,Real estate activities,0.898
2013,CO,Transport and storage,94.264
2013,CO,"Water supply; sewerage, waste management and remediation activities",11.543
2013,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,21.381
2014,CO,"Agriculture, forestry and fishing",47.186
2014,CO,"Arts, entertainment and recreation",2.965
2014,CO,Construction,39.665
2014,CO,Education,2.211
2014,CO,"Electricity, gas, steam and air conditioning supply",72.447
2014,CO,Financial and insurance activities,0.245
2014,CO,Human health and social work activities,5.573
2014,CO,Information and communication,1.321
2014,CO,Manufacturing,414.22
2014,CO,Mining and quarrying,28.511
2014,CO,Other service activities,1.033
2014,CO,"Professional, scientific and technical activities",2.185
2014,CO,Public administration and defence; compulsory social security,11.365
2014,CO,Real estate activities,0.788
2014,CO,Transport and storage,95.078
2014,CO,"Water supply; sewerage, waste management and remediation activities",11.233
2014,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,19.043
2015,CO,"Agriculture, forestry and fishing",62.53
2015,CO,"Arts, entertainment and recreation",2.943
2015,CO,Construction,39.965
2015,CO,Education,2.041
2015,CO,"Electricity, gas, steam and air conditioning supply",64.079
2015,CO,Financial and insurance activities,0.237
2015,CO,Human health and social work activities,4.173
2015,CO,Information and communication,1.254
2015,CO,Manufacturing,379.34
2015,CO,Mining and quarrying,39.471
2015,CO,Other service activities,1.069
2015,CO,"Professional, scientific and technical activities",2.127
2015,CO,Public administration and defence; compulsory social security,9.253
2015,CO,Real estate activities,0.782
2015,CO,Transport and storage,88.421
2015,CO,"Water supply; sewerage, waste management and remediation activities",11.477
2015,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,17.691
2016,CO,"Agriculture, forestry and fishing",55.959
2016,CO,"Arts, entertainment and recreation",2.978
2016,CO,Construction,40.321
2016,CO,Education,2.129
2016,CO,"Electricity, gas, steam and air conditioning supply",44.657
2016,CO,Financial and insurance activities,0.222
2016,CO,Human health and social work activities,4.535
2016,CO,Information and communication,1.132
2016,CO,Manufacturing,297.74
2016,CO,Mining and quarrying,39.621
2016,CO,Other service activities,1.001
2016,CO,"Professional, scientific and technical activities",1.957
2016,CO,Public administration and defence; compulsory social security,9.117
2016,CO,Real estate activities,0.733
2016,CO,Transport and storage,88.203
2016,CO,"Water supply; sewerage, waste management and remediation activities",11.685
2016,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,15.629
2017,CO,"Agriculture, forestry and fishing",50.284
2017,CO,"Arts, entertainment and recreation",3.087
2017,CO,Construction,40.889
2017,CO,Education,2.246
2017,CO,"Electricity, gas, steam and air conditioning supply",41.691
2017,CO,Financial and insurance activities,0.202
2017,CO,Human health and social work activities,4.196
2017,CO,Information and communication,0.994
2017,CO,Manufacturing,303.888
2017,CO,Mining and quarrying,38.88
2017,CO,Other service activities,0.918
2017,CO,"Professional, scientific and technical activities",1.711
2017,CO,Public administration and defence; compulsory social security,8.814
2017,CO,Real estate activities,0.658
2017,CO,Transport and storage,76.023
2017,CO,"Water supply; sewerage, waste management and remediation activities",11.788
2017,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,13.156
2018,CO,"Agriculture, forestry and fishing",60.047
2018,CO,"Arts, entertainment and recreation",3.115
2018,CO,Construction,40.114
2018,CO,Education,2.333
2018,CO,"Electricity, gas, steam and air conditioning supply",52.387
2018,CO,Financial and insurance activities,0.189
2018,CO,Human health and social work activities,4.365
2018,CO,Information and communication,0.87
2018,CO,Manufacturing,296.93
2018,CO,Mining and quarrying,39.024
2018,CO,Other service activities,0.88
2018,CO,"Professional, scientific and technical activities",1.537
2018,CO,Public administration and defence; compulsory social security,8.551
2018,CO,Real estate activities,0.618
2018,CO,Transport and storage,74.037
2018,CO,"Water supply; sewerage, waste management and remediation activities",11.528
2018,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,11.056
2019,CO,"Agriculture, forestry and fishing",66.049
2019,CO,"Arts, entertainment and recreation",3.058
2019,CO,Construction,40.049
2019,CO,Education,2.102
2019,CO,"Electricity, gas, steam and air conditioning supply",40.268
2019,CO,Financial and insurance activities,0.181
2019,CO,Human health and social work activities,3.922
2019,CO,Information and communication,0.807
2019,CO,Manufacturing,293.518
2019,CO,Mining and quarrying,39.438
2019,CO,Other service activities,0.805
2019,CO,"Professional, scientific and technical activities",1.452
2019,CO,Public administration and defence; compulsory social security,7.882
2019,CO,Real estate activities,0.592
2019,CO,Transport and storage,69.305
2019,CO,"Water supply; sewerage, waste management and remediation activities",10.544
2019,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,9.774
2020,CO,"Agriculture, forestry and fishing",47.856
2020,CO,"Arts, entertainment and recreation",2.923
2020,CO,Construction,33.717
2020,CO,Education,1.758
2020,CO,"Electricity, gas, steam and air conditioning supply",44.177
2020,CO,Financial and insurance activities,0.132
2020,CO,Human health and social work activities,3.42
2020,CO,Information and communication,0.525
2020,CO,Manufacturing,293.391
2020,CO,Mining and quarrying,35.928
2020,CO,Other service activities,0.649
2020,CO,"Professional, scientific and technical activities",0.96
2020,CO,Public administration and defence; compulsory social security,5.825
2020,CO,Real estate activities,0.464
2020,CO,Transport and storage,52.63
2020,CO,"Water supply; sewerage, waste management and remediation activities",10.462
2020,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,6.434
2021,CO,"Agriculture, forestry and fishing",52.221
2021,CO,"Arts, entertainment and recreation",2.97
2021,CO,Construction,39.112
2021,CO,Education,1.86
2021,CO,"Electricity, gas, steam and air conditioning supply",47.776
2021,CO,Financial and insurance activities,0.142
2021,CO,Human health and social work activities,4.501
2021,CO,Information and communication,0.576
2021,CO,Manufacturing,278.15
2021,CO,Mining and quarrying,30.88
2021,CO,Other service activities,0.662
2021,CO,"Professional, scientific and technical activities",1.069
2021,CO,Public administration and defence; compulsory social security,8
2021,CO,Real estate activities,0.489
2021,CO,Transport and storage,51.42
2021,CO,"Water supply; sewerage, waste management and remediation activities",10.761
2021,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,6.755
2022,CO,"Agriculture, forestry and fishing",52.157
2022,CO,"Arts, entertainment and recreation",2.966
2022,CO,Construction,39.287
2022,CO,Education,1.713
2022,CO,"Electricity, gas, steam and air conditioning supply",39.31
2022,CO,Financial and insurance activities,0.14
2022,CO,Human health and social work activities,4.393
2022,CO,Information and communication,0.585
2022,CO,Manufacturing,223.447
2022,CO,Mining and quarrying,27.929
2022,CO,Other service activities,0.643
2022,CO,"Professional, scientific and technical activities",1.069
2022,CO,Public administration and defence; compulsory social security,8.241
2022,CO,Real estate activities,0.473
2022,CO,Transport and storage,63.127
2022,CO,"Water supply; sewerage, waste management and remediation activities",10.976
2022,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,6.513
2023,CO,"Agriculture, forestry and fishing",51.988
2023,CO,"Arts, entertainment and recreation",3.167
2023,CO,Construction,38.596
2023,CO,Education,1.688
2023,CO,"Electricity, gas, steam and air conditioning supply",33.319
2023,CO,Financial and insurance activities,0.136
2023,CO,Human health and social work activities,4.522
2023,CO,Information and communication,0.577
2023,CO,Manufacturing,197.011
2023,CO,Mining and quarrying,26.212
2023,CO,Other service activities,0.647
2023,CO,"Professional, scientific and technical activities",1.048
2023,CO,Public administration and defence; compulsory social security,9.117
2023,CO,Real estate activities,0.462
2023,CO,Transport and storage,63.413
2023,CO,"Water supply; sewerage, waste management and remediation activities",10.793
2023,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,6.422
NA,CO,"Agriculture, forestry and fishing",NA
NA,CO,"Arts, entertainment and recreation",NA
NA,CO,Construction,NA
NA,CO,Education,NA
NA,CO,"Electricity, gas, steam and air conditioning supply",NA
NA,CO,Financial and insurance activities,NA
NA,CO,Human health and social work activities,NA
NA,CO,Information and communication,NA
NA,CO,Manufacturing,NA
NA,CO,Mining and quarrying,NA
NA,CO,Other service activities,NA
NA,CO,"Professional, scientific and technical activities",NA
NA,CO,Public administration and defence; compulsory social security,NA
NA,CO,Real estate activities,NA
NA,CO,Transport and storage,NA
NA,CO,"Water supply; sewerage, waste management and remediation activities",NA
NA,CO,Wholesale and retail trade; repair of motor vehicles and motorcycles,NA
1990,NMVOC,"Agriculture, forestry and fishing",211.095
1990,NMVOC,"Arts, entertainment and recreation",3.229
1990,NMVOC,Construction,113.582
1990,NMVOC,Education,3.12
1990,NMVOC,"Electricity, gas, steam and air conditioning supply",51.081
1990,NMVOC,Financial and insurance activities,1.057
1990,NMVOC,Human health and social work activities,5.536
1990,NMVOC,Information and communication,6.474
1990,NMVOC,Manufacturing,806.066
1990,NMVOC,Mining and quarrying,365.294
1990,NMVOC,Other service activities,11.884
1990,NMVOC,"Professional, scientific and technical activities",12.127
1990,NMVOC,Public administration and defence; compulsory social security,22.561
1990,NMVOC,Real estate activities,2.762
1990,NMVOC,Transport and storage,83.787
1990,NMVOC,"Water supply; sewerage, waste management and remediation activities",16.558
1990,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,183.453
1991,NMVOC,"Agriculture, forestry and fishing",210.703
1991,NMVOC,"Arts, entertainment and recreation",3.259
1991,NMVOC,Construction,106.589
1991,NMVOC,Education,3.233
1991,NMVOC,"Electricity, gas, steam and air conditioning supply",51.007
1991,NMVOC,Financial and insurance activities,1.065
1991,NMVOC,Human health and social work activities,5.639
1991,NMVOC,Information and communication,6.55
1991,NMVOC,Manufacturing,764.083
1991,NMVOC,Mining and quarrying,371.828
1991,NMVOC,Other service activities,11.435
1991,NMVOC,"Professional, scientific and technical activities",12.222
1991,NMVOC,Public administration and defence; compulsory social security,22.638
1991,NMVOC,Real estate activities,2.769
1991,NMVOC,Transport and storage,86.868
1991,NMVOC,"Water supply; sewerage, waste management and remediation activities",16.722
1991,NMVOC,Wholesale and retail trade; repair of motor vehicles and motorcycles,177.534
1992,NMVOC,"Agriculture, forestry and fishing",208.383
1992,NMVOC,"Arts, entertainment and recreation",3.146
1992,NMVOC,Construction,100.461
1992,NMVOC,Education,3.243
1992,NMVOC,"Electricity, gas, steam and air conditioning supply",50.112
1992,NMVOC,Financial and insurance activities,1.028
1992,NMVOC,Human health and social work activities,5.619
1992,NMVOC,Information and communication,6.327
1992,NMVOC,Manufacturing,736.38
